ptal_score,imd_score,log_pop_density,shap_ptal_score,shap_imd_score,shap_log_pop_density,LSOA11CD,actual,predicted,residual
7.436,29.339,9.354302178215503,-0.7931645070515371,0.521396640102525,-0.24809010429645514,E01000024,0.0,0.2248912027364691,0.2248912027364691
5.751,36.702,9.43486696644514,-1.0138423171821855,1.0602286638331666,-0.3344526248278755,E01000025,0.0,0.26784280698574453,0.26784280698574453
3.858,37.347,7.253470382684528,-1.2617610676731752,1.1074304369292232,2.0039251130396676,E01000027,0.0,0.7562199322383437,0.7562199322383437
3.015,40.078,9.444352644175492,-1.3721654557682117,1.3072878668909755,-0.3446209260888049,E01000028,0.0,0.24471013687517093,0.24471013687517093
2.517,22.503,8.865255149856731,-1.4373865533617212,0.021131026327886288,0.27615050944511615,E01000029,0.0,0.13497910108676256,0.13497910108676256
4.821,38.415,9.0994088112689,-1.1356407524471726,1.1855877914510653,0.025146307291989127,E01000030,0.0,0.3446962343016586,0.3446962343016586
4.077,22.672,7.649502129378145,-1.2330795006591622,0.033498622689488715,1.579393495611051,E01000031,0.0,0.41636437686370387,0.41636437686370387
6.686,29.958,8.618846845142738,-0.891389051620075,0.5666957060660273,0.5402912431651411,E01000032,0.0,0.3770870328301215,0.3770870328301215
3.915,37.978,9.270531958870055,-1.2542960022859664,1.1536076754154427,-0.1582914782822993,E01000033,0.0,0.2735851236262831,0.2735851236262831
3.511,35.895,8.028650775890704,-1.3072062902935522,1.0011715616804264,1.172959947054218,E01000034,0.0,0.5372798195406938,0.5372798195406938
6.778,26.175,8.451566077977011,-0.879340174153001,0.2898518182793892,0.7196101367701679,E01000035,0.0,0.35723005071385494,0.35723005071385494
7.346,19.27,8.163912480545521,-0.8049514523997616,-0.21546328750087432,1.02796432300975,E01000036,0.0,0.32960345683093106,0.32960345683093106
2.323,17.988,8.891759132728833,-1.4627939688901161,-0.30928138534450905,0.24773920451582093,E01000037,0.0,0.09605350083755715,0.09605350083755715
8.361,19.646,8.929157136264232,-0.6720209020836736,-0.1879472151223979,0.2076499059632814,E01000038,0.0,0.20264458297209978,0.20264458297209978
1.997,22.288,7.042985228242241,-1.5054889042625739,0.00539710196253414,2.2295575372231413,E01000039,0.0,0.5029842258062253,0.5029842258062253
9.008,34.608,9.30643206450169,-0.5872858616358818,0.9069875586189924,-0.19677508480348774,E01000040,0.0,0.35557962204746796,0.35557962204746796
5.721,33.173,9.398627433047356,-1.017771298964927,0.801972761110712,-0.295605164096092,E01000041,0.0,0.2263683367389085,0.2263683367389085
8.487,41.573,9.004680585001791,-0.6555191785961593,1.4166935270128427,0.12669151786933988,E01000042,0.0,0.5424816275567851,0.5424816275567851
7.268,28.075,8.66051401086046,-0.8151668050348896,0.4288958010429663,0.4956255581449556,E01000043,0.0,0.3524758146476766,0.3524758146476766
8.712,28.389,9.362400296267923,-0.6260518152255979,0.45187464872073646,-0.2567709920879617,E01000044,0.0,0.24076740284309342,0.24076740284309342
7.087,35.688,8.661657105653951,-0.8388716617907634,0.9860230856635525,0.4944002021334577,E01000045,1.0,0.4810148657974964,-0.5189851342025036
6.092,29.763,9.43984763187686,-0.9691828909183571,0.5524254025718709,-0.3397917168811062,E01000046,0.0,0.18632358511139754,0.18632358511139754
