LSOA11CD,crime_count,hotspot_10,ptal_score,imd_score,pop_density,road_density,node_density
E01000188,336.0,0.0,0.981,8.028,494.8,15854.0,477.0
E01000189,402.0,0.0,1.919,24.526,15240.7,49714.0,1290.0
E01000190,198.0,0.0,4.045,10.149,6974.2,29185.0,486.0
E01000191,152.0,0.0,10.543,6.834,6091.2,32344.0,570.0
E01000192,676.0,0.0,21.425,15.472,7031.7,28538.0,799.0
E01000193,1161.0,1.0,20.066,16.117,6410.0,46203.0,1743.0
E01000194,672.0,0.0,16.012,19.392,5734.1,40799.0,1199.0
E01000195,724.0,0.0,1.503,26.999,6405.5,49645.0,1519.0
E01000196,624.0,0.0,15.332,12.284,8641.2,42780.0,1246.0
E01000197,271.0,0.0,9.2,12.516,6682.3,33362.0,699.0
E01000198,314.0,0.0,3.231,11.841,6659.6,40823.0,762.0
E01000199,184.0,0.0,4.504,7.222,4673.2,33667.0,881.0
E01000200,221.0,0.0,6.868,9.566,7115.1,33198.0,733.0
E01000201,205.0,0.0,6.115,7.184,3913.2,38188.0,989.0
E01000202,211.0,0.0,7.467,6.735,7402.7,27722.0,442.0
E01000203,405.0,0.0,5.041,15.523,6040.0,52158.0,1677.0
E01000204,241.0,0.0,11.442,10.063,5374.4,23912.0,577.0
E01000205,270.0,0.0,4.213,7.725,3959.0,34259.0,1010.0
E01000206,361.0,0.0,2.801,9.118,1136.1,17838.0,631.0
E01000207,287.0,0.0,3.897,6.585,4554.4,35078.0,597.0
E01000208,274.0,0.0,10.278,6.612,4003.4,41630.0,1347.0
E01000209,222.0,0.0,5.378,7.058,3694.6,32329.0,518.0
E01000210,214.0,0.0,3.921,8.197,3119.1,35337.0,845.0
E01000211,803.0,1.0,8.357,14.568,7760.8,44953.0,905.0
E01000212,239.0,0.0,7.749,10.294,3872.9,37607.0,623.0
E01000213,164.0,0.0,3.382,7.583,3180.3,15741.0,334.0
E01000214,358.0,0.0,16.642,10.503,4911.0,34551.0,786.0
E01000215,257.0,0.0,12.709,13.565,9808.0,31859.0,484.0
E01000216,238.0,0.0,8.802,10.017,10143.6,37770.0,465.0
E01000217,184.0,0.0,6.089,10.826,8317.8,39434.0,608.0
E01000218,351.0,0.0,14.021,15.33,12155.6,46045.0,372.0
E01000219,372.0,0.0,18.705,19.87,11485.4,30869.0,631.0
E01000220,264.0,0.0,13.651,17.109,12309.2,29898.0,382.0
E01000221,910.0,1.0,13.35,45.842,3348.4,49513.0,1662.0
E01000222,348.0,0.0,6.69,27.098,4899.0,41473.0,620.0
E01000223,769.0,0.0,8.452,35.812,3731.9,28059.0,729.0
E01000224,244.0,0.0,9.286,19.679,10542.1,37942.0,522.0
E01000225,181.0,0.0,5.415,10.981,6020.6,31234.0,446.0
E01000226,278.0,0.0,6.727,31.658,10028.9,38299.0,844.0
E01000227,199.0,0.0,5.574,9.965,7306.5,24400.0,489.0
E01000228,300.0,0.0,0.814,12.492,497.6,14044.0,423.0
E01000229,205.0,0.0,2.504,21.609,5968.5,66375.0,934.0
E01000230,173.0,0.0,5.125,7.886,7212.8,44171.0,646.0
E01000231,299.0,0.0,2.991,17.628,4895.9,58180.0,1210.0
E01000232,245.0,0.0,7.251,14.534,6270.1,41454.0,938.0
E01000233,333.0,0.0,7.012,8.853,7321.5,32693.0,825.0
E01000234,216.0,0.0,11.874,8.657,6445.9,41402.0,886.0
E01000235,370.0,0.0,12.18,23.347,5307.9,41622.0,720.0
E01000236,259.0,0.0,6.552,10.572,8509.2,39419.0,925.0
E01000237,647.0,0.0,14.366,9.545,6471.5,34648.0,994.0
