LSOA11CD,202001,202002,202003,202004,202005,202006,202007,202008,202009,202010,202011,202012,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110,202111,202112,202201,202202,202203,202204,202205,202206,202207,202208,202209,202210,202211,202212,crime_count,hotspot_5,hotspot_10,hotspot_15,hotspot_20
E01000021,20,12,10,12,17,13,12,18,14,13,19,5,8,9,10,10,5,12,12,15,11,10,10,9,13,9,10,15,8,11,13,20,13,18,15,15,446,0,0,0,0
E01000022,9,10,6,8,4,5,4,7,8,0,5,13,4,8,4,8,7,6,4,6,11,10,3,3,1,3,8,8,4,9,4,6,6,9,2,3,216,0,0,0,0
E01000024,5,8,13,11,8,11,3,3,1,7,4,12,4,2,3,8,3,4,7,1,7,11,2,5,3,3,6,8,6,10,7,10,8,17,10,6,237,0,0,0,0
E01000025,9,11,11,5,14,7,7,9,9,8,7,8,10,6,10,8,16,12,12,8,9,11,6,7,10,5,8,5,8,18,3,11,10,8,9,11,326,0,0,0,0
E01000027,13,17,10,6,13,13,15,18,16,11,11,4,7,14,12,13,12,20,12,14,9,27,11,12,18,14,16,26,16,14,14,10,12,14,11,11,486,0,0,0,0
E01000028,8,3,12,6,8,16,13,11,6,7,2,10,18,7,11,12,15,11,9,11,6,13,6,10,8,7,10,10,6,11,6,19,7,10,17,6,348,0,0,0,0
E01000029,10,11,9,2,7,4,12,13,16,12,6,5,8,6,15,14,3,6,6,9,6,14,7,8,8,7,6,7,4,10,4,14,4,13,14,10,310,0,0,0,0
E01000030,12,15,4,12,18,20,21,27,33,20,17,15,23,16,24,9,21,18,19,13,25,16,24,25,18,15,19,16,37,13,26,24,30,20,19,23,707,0,0,1,1
E01000031,12,12,8,9,10,3,10,20,15,18,7,9,14,15,7,10,20,13,4,4,12,14,14,18,5,4,11,10,13,21,13,3,8,21,14,13,414,0,0,0,0
E01000032,22,11,15,11,20,12,21,12,18,12,17,19,16,12,12,27,25,18,29,21,16,13,16,13,22,14,22,12,34,11,14,9,13,11,10,13,593,0,0,0,1
E01000033,11,6,9,7,4,11,7,8,10,9,4,12,7,8,9,7,13,12,9,6,7,9,7,8,12,10,4,7,7,5,7,7,2,7,7,6,281,0,0,0,0
E01000034,4,7,9,11,7,9,9,8,6,1,8,5,9,10,6,12,12,9,12,5,9,4,12,12,5,11,3,11,6,8,3,9,11,6,8,8,285,0,0,0,0
E01000035,16,23,21,9,11,14,9,10,22,27,18,18,9,7,13,18,28,18,18,17,25,16,25,16,20,14,20,19,10,17,19,16,16,23,19,11,612,0,0,0,1
E01000036,11,5,12,6,5,12,12,9,5,11,14,5,11,11,9,10,10,10,9,11,20,12,13,8,11,10,7,10,9,9,11,12,10,8,10,15,363,0,0,0,0
E01000037,13,6,7,6,7,8,5,5,9,9,16,11,9,4,5,14,15,16,7,6,8,11,14,9,6,8,7,7,9,15,3,9,15,7,10,11,327,0,0,0,0
E01000038,5,5,7,5,2,6,5,5,2,4,7,8,6,2,6,7,10,5,1,2,4,7,7,5,2,8,5,3,5,1,3,8,3,2,5,2,170,0,0,0,0
E01000039,4,5,9,5,6,6,9,13,6,5,7,5,7,3,6,5,7,11,9,19,9,5,5,4,2,6,2,4,8,6,7,4,8,14,9,7,247,0,0,0,0
E01000040,3,9,6,9,8,8,5,15,15,5,8,8,8,4,9,5,14,8,7,11,15,9,14,17,19,15,12,16,14,13,22,7,12,14,16,13,393,0,0,0,0
E01000041,14,6,6,7,13,6,3,1,2,2,14,11,4,5,7,11,5,6,9,9,7,5,7,7,5,6,6,7,8,8,10,5,5,11,9,4,251,0,0,0,0
E01000042,13,5,10,14,10,7,14,13,17,6,13,5,13,9,9,12,11,7,5,8,15,10,12,9,5,17,11,12,11,14,14,16,7,13,17,17,401,0,0,0,0
E01000043,7,6,10,9,5,7,9,8,9,10,11,6,4,7,7,13,5,12,4,5,9,6,8,5,4,10,2,10,9,10,13,8,8,13,8,8,285,0,0,0,0
E01000044,8,10,7,7,6,7,18,7,7,11,10,7,7,14,12,6,8,10,10,12,14,21,8,10,9,6,13,13,11,6,6,15,9,8,6,13,352,0,0,0,0
E01000045,27,29,27,15,18,23,24,23,27,22,27,17,11,21,20,24,20,27,23,21,19,21,21,16,30,14,20,20,14,31,20,21,26,20,32,47,818,0,1,1,1
E01000046,11,8,7,6,6,5,5,10,5,10,7,7,4,8,7,10,15,8,5,7,10,10,7,5,7,5,6,11,8,16,8,11,11,11,8,12,297,0,0,0,0
E01000049,22,16,18,13,21,26,19,19,26,10,16,17,23,11,22,16,18,18,21,21,16,21,20,15,11,21,19,18,25,27,22,20,17,13,19,13,670,0,0,1,1
