LSOA11CD,imd_score,imd_decile
E01000406,23.276,4
E01000407,14.648,6
E01000408,23.784,4
E01000409,5.938,9
E01000410,7.496,9
E01000411,9.621,8
E01000412,8.605,9
E01000413,10.974,8
E01000414,13.631,7
E01000415,6.236,9
E01000416,25.261,4
E01000417,19.563,5
E01000418,18.667,5
E01000419,8.707,8
E01000420,11.155,8
E01000421,7.222,9
E01000422,35.949,2
E01000423,5.619,10
E01000424,6.789,9
E01000425,6.454,9
E01000426,10.343,8
E01000427,12.878,7
E01000428,23.903,4
E01000429,42.524,2
E01000430,16.489,6
E01000431,36.113,2
E01000432,24.386,4
E01000433,35.521,2
E01000434,38.229,2
E01000435,31.181,3
E01000436,5.016,10
E01000437,13.671,7
E01000438,14.031,7
E01000439,23.787,4
E01000440,7.749,9
E01000441,29.024,3
E01000442,13.895,7
E01000443,18.208,5
E01000444,6.832,9
E01000445,5.791,10
E01000446,6.243,9
E01000447,10.353,8
E01000448,3.171,10
E01000449,5.445,10
E01000450,18.048,5
E01000451,7.498,9
E01000452,7.478,9
E01000453,8.045,9
E01000454,18.58,5
E01000455,8.188,9
E01000456,6.115,9
E01000457,12.09,7
E01000458,5.631,10
E01000459,14.438,6
E01000460,5.115,10
E01000461,7.086,9
E01000462,14.326,6
E01000463,5.128,10
E01000464,25.484,4
E01000465,28.674,3
E01000466,23.424,4
E01000467,18.552,5
E01000468,20.855,5
E01000469,19.895,5
E01000470,38.345,2
E01032566,25.162,4
E01000471,21.524,5
E01000472,22.928,4
E01000473,25.222,4
E01000474,21.758,4
E01000475,21.12,5
E01000476,19.67,5
E01000477,23.491,4
E01000478,23.721,4
E01000479,15.83,6
E01000480,11.775,7
E01000481,27.74,3
E01000482,33.304,2
E01000483,33.513,2
E01000484,38.614,2
E01000485,29.651,3
E01000486,15.555,6
E01000487,17.634,6
E01000488,24.308,4
E01000489,23.257,4
E01000490,24.206,4
E01000491,21.226,5
E01000492,13.405,7
E01000493,12.31,7
E01000494,19.535,5
E01000495,32.579,3
E01000497,23.67,4
E01000498,32.538,3
E01000499,27.131,3
E01000501,35.651,2
E01000502,28.682,3
E01000503,28.578,3
E01000504,21.374,5
E01000505,20.325,5
E01000506,30.431,3
E01000507,22.007,4
E01000508,37.833,2
E01000509,34.158,2
E01000510,30.111,3
E01000511,31.007,3
E01000512,18.91,5
E01000513,15.506,6
E01000514,14.626,6
E01000515,27.517,3
E01000516,19.417,5
E01000517,13.553,7
E01000518,25.937,4
E01000519,20.361,5
E01000520,20.597,5
E01000521,53.09,1
E01000522,31.433,3
E01000523,31.722,3
E01000524,44.228,1
E01000525,33.636,2
E01000526,42.123,2
E01000527,34.204,2
E01000528,46.028,1
E01000530,15.596,6
E01000531,25.279,4
E01000532,22.1,4
E01000533,38.611,2
E01000534,19.424,5
E01000535,29.612,3
E01000536,11.259,8
E01000538,9.585,8
E01000539,9.401,8
E01000540,10.46,8
E01000541,14.775,6
E01000543,21.407,5
E01000544,33.576,2
E01000545,30.368,3
E01000546,22.321,4
E01000547,22.673,4
E01000548,32.72,3
E01000549,17.113,6
E01000550,34.612,2
E01000551,41.111,2
E01000552,43.404,2
E01000553,29.062,3
E01000554,21.039,5
E01000555,15.947,6
E01000556,32.007,3
E01000557,23.465,4
E01000558,26.806,3
E01000559,22.118,4
E01000560,19.077,5
E01000561,24.708,4
E01000562,10.862,8
E01000563,9.588,8
E01000564,17.31,6
E01000565,23.892,4
E01000566,14.793,6
E01000567,18.175,5
E01000568,14.257,6
E01000569,9.462,8
E01000570,24.088,4
E01000571,22.247,4
E01000572,12.26,7
E01000573,13.432,7
E01000574,10.723,8
E01000575,17.369,6
E01000576,16.509,6
E01000577,32.606,3
E01000578,28.89,3
E01000579,28.906,3
E01000580,20.094,5
E01000581,15.538,6
E01000582,14.317,6
E01000583,21.296,5
E01000584,14.526,6
E01000585,14.234,7
E01000586,21.525,5
E01000587,15.01,6
E01000588,26.149,4
E01000589,19.307,5
E01000590,18.959,5
E01000591,20.6,5
E01000592,20.65,5
E01000593,19.632,5
E01000594,17.074,6
E01000595,45.345,1
E01000596,46.524,1
E01000599,51.401,1
E01000600,36.846,2
E01000601,57.244,1
E01000602,39.756,2
E01000603,39.051,2
E01000604,43.13,2
E01000605,45.54,1
E01000606,19.696,5
E01000607,18.814,5
E01000608,22.141,4
E01000609,20.99,5
E01000610,24.925,4
E01000611,24.049,4
E01000612,22.985,4
