LSOA11CD,crime_count,hotspot_5,hotspot_10,hotspot_15,hotspot_20,imd_score,imd_decile,ptal_score,pop_density,road_density,node_density
E01001115,576.0,0.0,0.0,0.0,1.0,44.37,1,7.95014,8302.9,45340.0,1533.0
E01001116,647.0,0.0,0.0,1.0,1.0,28.878,3,13.8783,9658.0,34492.0,1074.0
E01001117,,,,,,27.454,3,14.6037,,34356.0,1203.0
E01001118,1135.0,1.0,1.0,1.0,1.0,40.478,2,14.7016,11581.5,39140.0,1166.0
E01001119,64.0,0.0,0.0,0.0,0.0,8.868,8,2.81466,2088.5,25371.0,555.0
E01001120,199.0,0.0,0.0,0.0,0.0,10.028,8,4.18145,4397.6,32580.0,597.0
E01001121,62.0,0.0,0.0,0.0,0.0,7.244,9,1.18399,597.6,10017.0,281.0
E01001122,183.0,0.0,0.0,0.0,0.0,9.529,8,3.56812,1163.5,14567.0,430.0
E01001123,125.0,0.0,0.0,0.0,0.0,9.235,8,2.10248,2160.3,31305.0,750.0
E01001124,112.0,0.0,0.0,0.0,0.0,5.837,10,2.58412,2607.0,19098.0,393.0
E01001125,337.0,0.0,0.0,0.0,0.0,12.056,7,6.19633,4236.4,29347.0,490.0
E01001126,83.0,0.0,0.0,0.0,0.0,6.813,9,3.31546,6446.8,34985.0,749.0
E01001127,232.0,0.0,0.0,0.0,0.0,9.41,8,3.62671,4931.8,34622.0,2199.0
E01001128,267.0,0.0,0.0,0.0,0.0,34.857,2,3.93676,7301.7,43213.0,2657.0
E01001129,129.0,0.0,0.0,0.0,0.0,4.626,10,3.70236,4793.4,39985.0,2892.0
E01001130,344.0,0.0,0.0,0.0,0.0,37.162,2,3.31092,12773.4,54625.0,2178.0
E01001131,172.0,0.0,0.0,0.0,0.0,12.694,7,1.02423,9585.1,35425.0,2721.0
E01001132,283.0,0.0,0.0,0.0,0.0,9.259,8,3.00865,3752.0,19824.0,580.0
E01001133,165.0,0.0,0.0,0.0,0.0,11.327,7,5.21562,3974.0,22678.0,1164.0
E01001134,174.0,0.0,0.0,0.0,0.0,9.9,8,4.0949,4283.8,34041.0,2674.0
E01001135,318.0,0.0,0.0,0.0,0.0,8.602,9,5.39222,3724.5,43411.0,3266.0
E01001136,912.0,0.0,1.0,1.0,1.0,32.903,3,20.6391,7238.2,30670.0,1085.0
E01001137,492.0,0.0,0.0,0.0,0.0,23.5,4,7.3365,6002.8,37337.0,1917.0
E01001138,258.0,0.0,0.0,0.0,0.0,18.603,5,8.5288,5767.6,32236.0,1047.0
E01001139,314.0,0.0,0.0,0.0,0.0,19.585,5,12.2328,9213.7,39188.0,623.0
E01001140,221.0,0.0,0.0,0.0,0.0,21.715,4,5.83809,4646.5,18349.0,692.0
E01001141,213.0,0.0,0.0,0.0,0.0,27.47,3,8.06069,8337.7,24271.0,756.0
E01001142,465.0,0.0,0.0,0.0,0.0,21.44,5,11.5129,6195.2,27627.0,755.0
E01001143,363.0,0.0,0.0,0.0,0.0,30.177,3,10.6516,8645.5,32255.0,1170.0
E01001144,366.0,0.0,0.0,0.0,0.0,37.101,2,19.0996,14625.6,26672.0,323.0
E01001145,675.0,0.0,0.0,1.0,1.0,39.931,2,20.6841,13078.0,35929.0,1575.0
E01001146,312.0,0.0,0.0,0.0,0.0,19.749,5,4.45021,11608.5,47621.0,1080.0
E01001147,403.0,0.0,0.0,0.0,0.0,34.0,2,5.38933,8870.1,39109.0,1282.0
E01001148,341.0,0.0,0.0,0.0,0.0,23.162,4,3.73534,12385.6,34571.0,746.0
E01001149,222.0,0.0,0.0,0.0,0.0,16.06,6,3.9559,11576.6,56482.0,1575.0
E01001150,361.0,0.0,0.0,0.0,0.0,20.545,5,5.4912,6131.7,44439.0,1153.0
E01001151,464.0,0.0,0.0,0.0,0.0,40.839,2,11.5244,10485.3,38126.0,917.0
E01001152,586.0,0.0,0.0,0.0,1.0,37.166,2,14.2179,11981.4,42359.0,1193.0
E01001153,346.0,0.0,0.0,0.0,0.0,22.665,4,12.7251,11665.5,61783.0,1553.0
E01001154,647.0,0.0,0.0,1.0,1.0,28.926,3,16.3767,11129.4,54495.0,1324.0
E01001155,1138.0,1.0,1.0,1.0,1.0,43.809,2,18.3158,13230.1,42659.0,1689.0
E01001156,258.0,0.0,0.0,0.0,0.0,26.234,4,7.79475,6378.7,41882.0,1534.0
E01001157,369.0,0.0,0.0,0.0,0.0,18.181,5,4.17033,5576.6,41992.0,999.0
E01001158,248.0,0.0,0.0,0.0,0.0,20.443,5,6.97896,7308.2,40335.0,1901.0
E01001159,352.0,0.0,0.0,0.0,0.0,14.456,6,6.86094,4820.2,31052.0,1029.0
E01001160,444.0,0.0,0.0,0.0,0.0,13.743,7,3.7993,6065.4,25734.0,568.0
E01001161,399.0,0.0,0.0,0.0,0.0,42.566,2,4.91127,5847.3,28582.0,464.0
