LSOA11CD,crime_count,hotspot_5,hotspot_10,hotspot_15,hotspot_20,imd_score,imd_decile,ptal_score,pop_density,road_density,node_density,MSOA11CD,RGN11CD
E01001456,184.0,0.0,0.0,0.0,0.0,5.686,10,8.254,5242.2,35664.0,1013.0,E02000298,E12000007
E01001457,273.0,0.0,0.0,0.0,0.0,13.891,7,14.286,6831.2,31740.0,1622.0,E02000286,E12000007
E01001458,499.0,0.0,0.0,0.0,0.0,40.254,2,10.528,10976.1,89734.0,3491.0,E02006793,E12000007
E01001459,353.0,0.0,0.0,0.0,0.0,23.802,4,5.011,7940.9,29031.0,590.0,E02000300,E12000007
E01001460,515.0,0.0,0.0,0.0,0.0,38.272,2,17.669,17234.9,56302.0,1965.0,E02000300,E12000007
E01001461,532.0,0.0,0.0,0.0,0.0,40.049,2,5.731,5447.6,24470.0,746.0,E02000303,E12000007
E01001462,327.0,0.0,0.0,0.0,0.0,35.063,2,8.259,13336.4,40576.0,821.0,E02000300,E12000007
E01001463,226.0,0.0,0.0,0.0,0.0,22.651,4,5.472,5958.7,17009.0,148.0,E02000307,E12000007
E01001464,266.0,0.0,0.0,0.0,0.0,38.337,2,4.293,6519.6,41200.0,926.0,E02000303,E12000007
E01001465,486.0,0.0,0.0,0.0,0.0,24.442,4,6.532,6837.5,43449.0,1131.0,E02000307,E12000007
E01001466,344.0,0.0,0.0,0.0,0.0,28.341,3,9.782,20202.4,43608.0,1405.0,E02000307,E12000007
E01001467,285.0,0.0,0.0,0.0,0.0,26.454,4,8.585,18965.8,32969.0,338.0,E02000307,E12000007
E01001468,995.0,0.0,1.0,1.0,1.0,29.819,3,4.646,1805.2,25774.0,1472.0,E02000286,E12000007
E01001469,220.0,0.0,0.0,0.0,0.0,23.277,4,8.298,7863.8,32816.0,1009.0,E02000284,E12000007
E01001470,286.0,0.0,0.0,0.0,0.0,10.556,8,2.17,869.5,13000.0,424.0,E02000289,E12000007
E01001471,306.0,0.0,0.0,0.0,0.0,17.36,6,4.387,5227.4,32286.0,1647.0,E02000286,E12000007
E01001472,258.0,0.0,0.0,0.0,0.0,13.774,7,10.936,6596.2,31506.0,897.0,E02000286,E12000007
E01001473,209.0,0.0,0.0,0.0,0.0,15.973,6,3.263,1894.1,22072.0,883.0,E02000289,E12000007
