LSOA11CD,ptal_score
E01000791,5.40641
E01000792,4.3915
E01000793,5.32948
E01000794,5.19259
E01000795,2.99055
E01000796,13.5919
E01000797,13.1399
E01000798,14.3556
E01000799,17.9432
E01000800,14.3168
E01000801,15.2094
E01000802,16.6572
E01000803,12.0387
E01000804,5.26206
E01000805,13.6843
E01000806,17.9533
E01000807,7.3957
E01000808,3.24554
E01000809,5.78398
E01000810,8.26036
E01000811,10.7998
E01000812,7.65251
E01000813,5.27963
E01000814,11.9807
E01000815,6.78654
E01000816,6.94499
E01000818,2.37689
E01000819,5.58105
E01000820,4.79018
E01000822,8.20768
E01000823,9.76816
E01000824,15.9188
E01000825,10.3366
E01000826,2.24561
E01000827,4.84076
E01000828,8.37147
E01000829,19.1676
E01000830,3.17597
E01000831,5.77025
E01000832,5.32819
E01000833,2.81427
E01000834,3.68791
E01000835,7.63649
E01000836,4.10367
E01000837,5.18839
E01000838,4.17723
E01000839,1.55032
E01000840,3.12167
E01000841,4.0552
E01000842,12.1622
E01000843,13.1695
E01000844,17.3376
E01000845,11.618
E01000846,10.2054
E01000847,17.3803
E01000848,13.2437
E01000849,17.436
E01000850,62.6618
E01000851,55.0582
E01000852,83.1544
E01000853,73.1792
E01000854,67.7297
E01000855,63.19
E01000856,42.4264
E01000857,12.1124
E01000858,25.9939
E01000859,11.7204
E01000860,7.15373
E01000861,41.5854
E01000862,21.9385
E01000863,43.6587
E01000864,7.84971
E01000865,17.2052
E01000866,24.6208
E01000867,35.5049
E01000868,5.92594
E01000869,14.1162
E01000870,22.4492
E01000871,9.91706
E01000872,19.5099
E01000873,10.2418
E01000874,23.6788
E01000875,19.1387
E01000876,15.0746
E01000877,18.0408
E01000878,14.2155
E01000879,18.5891
E01000880,20.6078
E01000881,26.9112
E01000882,21.9953
E01000883,31.3927
E01000884,5.72284
E01000885,5.68296
E01000886,12.5612
E01000887,18.925
E01000888,14.3022
E01000889,12.6576
E01000890,11.3929
E01000891,11.0683
E01000892,16.9827
E01000893,4.60725
E01000894,9.43746
E01000895,13.906
E01000896,15.3479
E01000897,15.777
E01000898,19.3603
E01000899,4.94096
E01000900,16.8435
E01000901,19.9858
E01000902,14.9716
E01000903,13.4116
E01000904,28.539
E01000905,20.7067
E01000906,18.2211
E01000907,13.7572
E01000908,6.31415
E01000909,8.16553
E01000910,17.9521
E01000911,19.6645
E01000912,6.58256
E01000913,3.64315
E01000914,60.1685
E01000915,50.4737
E01000916,55.1058
E01000917,58.3439
E01000918,83.5067
E01000919,87.5882
E01000920,43.1404
E01000921,25.1522
E01000922,22.4201
E01000923,22.28
E01000924,18.733
E01000925,20.5869
E01000926,18.2701
E01000927,30.7341
E01000928,20.2364
E01000929,19.4136
E01000930,27.3387
E01000931,21.9324
E01000932,25.2571
E01000933,28.7906
E01000934,16.2306
E01000935,14.4791
E01000936,32.3907
E01000937,51.5901
E01000938,73.2331
E01000939,82.7078
E01000940,57.595
E01000941,71.9473
E01000942,91.7288
E01000943,78.3652
E01000944,30.568
E01000945,58.5862
E01000946,23.0251
E01000947,37.842
E01000948,20.994
E01000949,18.7654
E01000950,27.6479
E01000951,35.5703
E01000952,45.221
E01000953,45.0041
E01000954,36.3043
E01000955,63.7766
E01000956,83.8862
E01000957,16.2338
E01000958,36.7298
E01000959,42.9236
E01000960,37.2568
E01000961,28.8328
E01000962,28.1847
E01000963,26.8844
E01000964,36.0696
E01000965,26.5335
E01000966,21.1491
E01000967,7.65545
E01000968,27.5282
E01000969,26.6359
E01000970,22.4513
E01000971,16.8373
E01000972,28.7901
E01000973,28.3065
E01000974,23.2694
E01000975,47.5401
E01000976,17.6807
E01000977,16.394
E01000978,17.8068
E01000979,35.4789
E01000980,5.00434
E01000981,11.3124
E01000982,5.57008
E01000983,12.1659
E01000984,9.66633
E01000985,6.61153
E01000986,12.0438
