osm_id,code,fclass,name
"1195290455","2252",pitch,
"1195290456","2252",pitch,
"1196029027","2204",park,Heathfield Nature Garden
"1196029028","2252",pitch,
"1196029029","2205",playground,
"1196082098","2205",playground,
"1196317760","2401",hotel,The Peninsula London
"1196381552","2204",park,
"1196586232","2204",park,Hornsey Park
"1196606670","2904",fountain,
"1196770202","2566",bicycle_rental,
"1197031937","2205",playground,
"1197088733","2503",kiosk,
"1197088737","2503",kiosk,
"1197106366","2205",playground,
"1197161489","2111",clinic,St George's Health & Wellbeing Hub
"1197161494","2303",cafe,Cafe Terrace
"1197229982","2724",memorial,Woodside War Memorial
"1197229987","2082",school,St Thomas Becket Catholic Primary School
"1197229988","2082",school,St Thomas Becket Catholic Primary School
"1197229989","2111",clinic,The Portland Medical Centre
"1197229990","2101",pharmacy,Fishers Pharmacy
"1197230000","2251",sports_centre,South Norwood Leisure Centre
"1197230003","2964",water_works,
"1197274226","2101",pharmacy,Baba Chemist
"1197510549","2501",supermarket,Lidl
"1197727634","2205",playground,
"1197730283","2205",playground,
"1197781183","2252",pitch,
"1197781184","2252",pitch,
"1197781185","2252",pitch,
"1197781186","2252",pitch,
"1197781187","2252",pitch,
"1197781188","2252",pitch,
"1197781190","2258",track,
"1197815818","2252",pitch,
"1197815819","2252",pitch,
"1197815841","2252",pitch,
"1197815842","2205",playground,
"1197817650","2258",track,
"1197819030","2741",picnic_site,
"1197956708","2205",playground,
"1198054197","2252",pitch,
"1198054245","2252",pitch,
"1198079099","2205",playground,Brett Close Play Area
"1198218902","2541",car_dealership,We Buy Any Car
"1198235017","2205",playground,
"1198466330","2252",pitch,
"1198466331","2252",pitch,
"1198466332","2252",pitch,
"1198466333","2252",pitch,
"1198466334","2252",pitch,
"1198466335","2252",pitch,
"1198468236","2904",fountain,
"1198468237","2904",fountain,
"1198468238","2904",fountain,
"1198468239","2904",fountain,
"1198600998","2082",school,Hackbridge Primary School - London Road Site
"1198732486","2950",tower,
"1198732487","2015",graveyard,The Albin Memorial Garden
"1198803262","2301",restaurant,Miller & Carter
"1198903591","2564",car_wash,
"1198937758","2205",playground,
"1199238642","2303",cafe,Caffe Latino
"1199516527","2205",playground,
"1199521100","2205",playground,
"1199523106","2205",playground,
"1199524824","2205",playground,
