ptal_score,imd_score,log_pop_density
13.916,39.815,9.168236305953371
13.558,35.154,9.335147569236094
11.325,38.156,9.244123249943751
7.101,34.357,8.38749444481189
4.09,28.849,9.073890438838285
3.147,28.968,9.4364475274741
3.187,28.317,6.774338165541786
4.698,42.183,9.047127083820161
2.502,33.768,9.258987668797705
4.77,46.922,8.725539806034343
3.089,28.182,8.3145627992244
3.884,32.254,6.890812558251825
3.52,40.926,7.920555471236099
14.571,38.009,9.28617114497023
11.056,39.405,9.309153500195613
9.591,29.266,9.101105694769755
4.915,31.83,9.125109227613523
8.701,40.463,9.24639260926868
5.783,42.631,8.861917004235215
3.048,32.894,7.835658326184458
8.248,34.672,9.07080240451677
8.917,44.149,9.264620202222515
4.767,43.523,9.21635226428265
2.676,28.332,8.111658080857959
9.59,28.166,8.976009475021396
4.309,25.691,9.180046099342581
5.205,17.741,8.997666818445087
5.315,28.903,8.891057547254514
9.714,24.743,8.868371054050575
14.538,25.268,9.468928284223587
5.975,23.288,9.153007825328938
5.748,9.642,8.564553762776075
5.744,9.812,8.88016824790345
3.314,36.203,8.275121630216509
5.588,11.048,8.114504226254825
12.91,23.589,8.895972034261897
12.382,26.704,9.056291353647886
4.623,33.625,9.552617158128589
14.666,27.543,8.957085490805156
14.621,27.055,9.02440830512803
20.556,31.0,9.14178311987904
9.849,30.863,9.334935706698777
8.717,20.904,8.701861991278541
10.033,25.53,9.26247731039601
11.542,30.774,9.266058860732526
11.042,24.669,9.345212115928398
14.616,12.523,8.545119594057077
11.632,8.96,7.957142308840869
17.382,28.797,8.523314418421174
24.466,18.338,9.033674789958386
12.03,14.626,8.961776443315062
30.034,18.538,9.111845125227083
4.931,12.786,9.154542209045935
11.27,27.671,9.154542209045935
5.1,15.583,8.487475976628089
4.14,38.897,9.401266469966057
3.95,32.418,9.586417863189755
5.494,41.649,9.366651573337906
9.276,32.667,9.562249979714448
12.02,20.797,9.154542209045935
8.165,8.319,9.32870990227762
4.751,12.655,9.438789822080574
6.748,19.721,8.596965093194397
4.514,16.257,8.194643583635381
7.358,12.121,8.773972659128201
9.431,14.513,9.034628920221834
10.215,18.504,9.11013322155915
3.796,28.541,9.086578247137805
7.307,25.331,8.048852179256402
8.897,13.258,9.188605879830176
5.245,14.861,8.385465884735307
1.794,28.35,7.744613117208381
6.793,6.975,8.48272596253399
6.723,13.226,8.830484529374438
3.482,8.421,8.041992078623176
3.719,30.549,8.966407206454416
5.029,8.263,9.194332933830365
4.034,8.055,8.29562340109032
3.104,8.467,9.431610168908582
8.578,14.555,9.155662408685407
14.153,8.204,9.374896724517322
14.505,8.01,8.907463440141859
2.927,10.613,8.791972378512495
1.938,31.921,7.912532965312492
2.906,25.824,9.386526478664054
7.951,5.195,8.846324261780557
4.098,13.015,8.993911725143604
0.981,8.028,6.20617261960109
1.919,24.526,9.63179037157599
4.045,10.149,8.850116280113605
10.543,6.834,8.714764543417068
1.503,26.999,8.76506837894963
15.332,12.284,9.06441245901511
9.2,12.516,8.807367156522997
3.231,11.841,8.803964849566656
4.504,7.222,8.449813304084925
6.868,9.566,8.87011510152566
6.115,7.184,8.272366245270868
7.467,6.735,8.909735154233912
5.041,15.523,8.706324840138741
11.442,10.063,8.589588268831587
2.801,9.118,7.036236440630677
3.897,6.585,8.424068621425763
10.278,6.612,8.295149035545329
3.921,8.197,8.045620331571948
3.382,7.583,8.065045197267658
16.642,10.503,8.499436469826978
12.709,13.565,9.191055610564316
14.021,15.33,9.40562751116016
18.705,19.87,9.348919005822218
13.651,17.109,9.418183466000215
13.35,45.842,8.116536504300377
8.452,35.812,8.224940690449696
5.415,10.981,8.703108283720322
0.814,12.492,6.211804171089457
2.504,21.609,8.694418450785443
5.125,7.886,8.883751137208918
2.991,17.628,8.496357630828099
