ptal_score,imd_score,log_pop_density,ptal_imd_interact,road_node_ratio,LSOA11CD,MSOA11CD,crime_count,hotspot_10
7.912,33.284,9.380825486994182,263.343008,24.62840553818669,E01000052,E02000020,407.0,0.0
5.843,40.044,9.098246124437267,233.97709199999997,29.122759158222916,E01000053,E02000021,378.0,0.0
6.314,29.788,9.2992391334014,188.081432,64.1863354037267,E01000054,E02000019,317.0,0.0
7.786,30.898,9.365556198618824,240.57182799999998,52.287253141831236,E01000055,E02000019,306.0,0.0
1.628,35.903,8.851935360905419,58.450084,41.69549104385423,E01000056,E02000019,674.0,0.0
9.981,32.887,9.25867328876682,328.245147,56.7018701870187,E01000057,E02000013,442.0,0.0
7.259,31.763,9.368958202070901,230.567617,55.76321353065539,E01000058,E02000019,414.0,0.0
5.435,32.331,9.01218207335588,175.718985,47.974326059050064,E01000059,E02000014,280.0,0.0
4.728,36.154,8.285362011704462,170.936112,28.724108658743635,E01000060,E02000007,855.0,1.0
7.364,46.283,8.056490177053456,340.828012,22.75661827497865,E01000061,E02000007,709.0,0.0
4.488,26.669,9.21269759154986,119.69047200000001,45.7542627883651,E01000062,E02000007,466.0,0.0
7.428,33.371,9.191504077629888,247.87978800000002,34.33470507544582,E01000063,E02000005,323.0,0.0
4.115,35.283,9.305395973923769,145.189545,42.35532516493874,E01000064,E02000007,584.0,0.0
5.83,39.89,9.046125888191261,232.55870000000002,55.372924648786714,E01000065,E02000008,376.0,0.0
3.484,25.763,9.230652673288061,89.75829200000001,45.087878787878786,E01000066,E02000012,370.0,0.0
5.811,20.973,9.360637923744937,121.87410299999999,59.59605263157895,E01000067,E02000012,366.0,0.0
16.953,25.603,8.572646819601204,434.047659,38.333333333333336,E01000068,E02000017,316.0,0.0
8.91,16.375,9.254826047015461,145.90125,66.46462715105163,E01000069,E02000012,227.0,0.0
9.088,21.038,8.573951525234847,191.193344,44.440835266821345,E01000070,E02000012,872.0,1.0
8.505,18.848,9.172794255902213,160.30224,30.03676470588235,E01000071,E02000012,483.0,0.0
3.471,41.016,8.326541031301957,142.366536,40.925925925925924,E01000072,E02000018,662.0,0.0
3.681,38.757,8.778680148084833,142.664517,49.99052132701422,E01000073,E02000013,324.0,0.0
5.224,35.044,9.27925990744078,183.069856,56.00777202072539,E01000074,E02000013,313.0,0.0
9.07,36.999,8.299310776023498,335.58093,45.00573065902579,E01000075,E02000013,550.0,0.0
5.923,36.246,9.335465278905083,214.68505800000003,79.41317365269461,E01000076,E02000013,320.0,0.0
