ptal_score,imd_score,log_pop_density,ptal_imd_interact,road_node_ratio
3.884,32.254,6.890812558251825,125.27453599999998,26.066860465116278
3.52,40.926,7.920555471236099,144.05952000000002,36.96308016877637
14.571,38.009,9.28617114497023,553.8291389999999,59.703791469194314
11.056,39.405,9.309153500195613,435.66168,76.33285509325681
9.591,29.266,9.101105694769755,280.690206,48.631001371742116
4.915,31.83,9.125109227613523,156.44445,71.6109785202864
8.701,40.463,9.24639260926868,352.06856300000004,61.50869565217391
5.783,42.631,8.861917004235215,246.535073,74.88636363636364
3.048,32.894,7.835658326184458,100.26091199999999,36.24483306836248
8.248,34.672,9.07080240451677,285.9746559999999,39.85305798252581
8.917,44.149,9.264620202222515,393.676633,44.77765957446808
4.767,43.523,9.21635226428265,207.47414100000003,32.574355083459785
2.676,28.332,8.111658080857959,75.816432,46.68218623481781
